Wochentag;Schlafdauer in [dez h];Mittagsschlaf in [min];Wachheit;Happyness;Sport;Internes positives Ereignis;Externes positives Ereignis;Internes negatives Ereignis;Externesnegatives Ereignis
Mo;8,00;0;2;5;1;0;1;0;0
Di;6,00;20;4;3;1;0;0;0;0
Mi;8,33;20;4;3;2;0;0;0;0
Do;8,17;0;5;3;3;0;0;0;0
Fr;7,58;0;5;3;2;0;0;0;0
Sa;7,67;0;5;1;3;0;0;0;0
So;7,33;0;5;4;3;0;0;0;0
Mo;7,42;20;5;4;3;0;1;0;0
Di;7,33;0;5;2;4;0;0;0;0
Mi;8,83;0;5;1;2;0;0;0;0
Do;7,50;0;5;1;2;0;0;0;1
Fr;5,67;20;3;2;2;0;0;0;0
Sa;8,75;0;5;1;3;0;1;0;0
So;6,42;20;4;1;1;0;1;0;0
Mo;8,83;0;5;2;2;0;1;0;0
Di;6,67;0;5;1;2;0;1;0;0
Mi;6,17;0;5;2;2;0;1;0;0
Do;8,33;0;3;2;2;0;1;0;0
Fr;9,00;0;3;2;5;0;1;0;0
Sa;9,00;0;5;1;5;0;1;0;0
So;9,00;0;5;2;4;0;1;0;0
Mo;8,08;0;5;1;4;0;1;0;0
Di;6,50;0;5;1;4;0;1;0;0
Mi;4,50;0;1;2;4;0;1;0;0
Do;11,00;0;4;4;3;0;1;0;0
Fr;9,00;0;2;5;4;0;1;0;0
Sa;8,83;0;5;1;3;0;1;0;0
So;7,17;0;3;2;5;0;1;0;0
Mo;7,33;0;5;2;4;0;1;0;0
Di;7,33;0;4;3;2;0;1;0;0
Mi;7,42;0;4;5;1;0;0;0;0
Do;8,67;0;5;1;2;0;0;0;1
Fr;6,17;0;4;1;2;0;0;0;0
Sa;8,92;0;4;1;2;0;0;0;0
So;7,50;0;2;4;1;0;0;0;0
Mo;8,92;0;5;1;3;1;0;0;0
Di;7,33;0;2;2;2;0;0;0;0
Mi;5,17;0;2;2;1;0;0;0;0
Do;8,50;0;4;2;1;0;0;0;0
Fr;7,08;0;2;3;2;0;0;0;0
Sa;7,50;0;5;1;4;1;0;0;0
So;6,92;0;3;3;4;1;0;0;0
Mo;7,33;0;2;4;4;0;0;0;0
Di;7,33;0;5;1;3;0;0;0;0
Mi;6,92;0;4;1;4;1;0;0;0
Do;7,33;0;5;1;3;1;0;0;0
Fr;4,33;0;3;5;2;0;0;0;0
Sa;10,25;0;5;4;2;0;0;0;0
So;7,58;20;5;2;3;0;0;0;0
Mo;7,83;0;5;1;2;0;0;0;0
Di;7,67;20;2;4;2;0;0;0;0
Mi;7,33;0;4;3;2;0;0;0;0
Do;7,67;0;5;1;5;0;0;0;0
Fr;7,75;0;4;2;3;0;0;0;0
Sa;7,83;0;2;2;5;0;1;0;0
So;7,67;0;3;2;3;1;0;0;0
Mo;8,08;0;5;1;3;1;0;0;0
Di;8,83;0;5;1;2;0;0;0;0
Mi;6,17;60;3;4;4;1;0;0;0
Do;6,42;20;2;1;2;0;0;0;0
Fr;7,92;0;5;2;2;0;0;0;0
Sa;8,17;0;5;3;2;0;0;0;0
So;8,42;0;5;1;5;0;0;0;0
Mo;8,00;0;5;1;4;0;0;0;0
Di;7,00;0;2;1;3;1;0;0;0
Mi;6,00;60;3;2;3;0;0;0;0
Do;8,50;0;5;2;4;1;0;0;0
Fr;7,17;0;2;2;2;0;0;0;0
Sa;8,00;0;3;2;3;0;1;0;0
So;8,33;20;5;1;5;0;0;0;0
Mo;9,00;0;5;2;4;1;0;0;0
Di;7,25;0;5;1;4;1;0;0;0
Mi;8,58;0;5;2;2;1;0;0;0
Do;8,08;0;5;2;4;1;0;0;0
Fr;4,50;0;3;1;5;1;0;0;0
Sa;8,50;20;3;5;2;1;0;0;0
So;8,33;0;4;2;1;0;0;0;0
Mo;8,00;0;5;1;5;1;0;0;0
Di;7,83;0;5;1;4;1;0;0;0
Mi;7,33;0;5;5;3;1;0;0;1
Do;7,58;0;5;2;2;0;0;0;0
Fr;6,00;0;4;2;3;1;0;0;0
Sa;8,17;0;5;1;3;0;0;0;0
So;9,75;20;3;1;3;1;0;0;0
Mo;7,50;0;5;1;4;1;0;0;0
Di;8,00;0;4;2;5;0;0;0;0
Mi;7,75;0;3;1;1;1;0;0;0
Do;7,92;0;5;3;1;0;0;1;0
Fr;8,08;0;5;3;5;0;0;0;0
Sa;8,33;0;5;1;2;1;0;0;0
So;7,50;20;5;1;5;0;0;0;0
Mo;7,50;0;5;2;5;0;0;0;1
Di;8,08;0;3;4;1;0;0;1;0
Mi;8,08;0;5;1;3;0;0;0;0
Do;7,58;0;5;1;4;1;0;0;0
Fr;7,33;60;1;2;3;0;0;0;0
Sa;8,17;0;3;1;4;0;0;0;0
So;8,08;20;4;1;5;1;0;0;0
Mo;8,67;0;5;1;3;1;0;0;0
Di;7,92;20;4;2;1;0;0;1;0
Mi;7,92;0;5;2;2;0;0;0;0
Do;6,00;0;5;1;3;1;0;0;0
Fr;7,25;0;5;4;3;1;0;0;0
Sa;9,50;0;4;1;3;0;0;0;0
So;7,25;0;5;1;3;1;0;0;0
Mo;7,33;0;5;1;5;0;0;0;0
Di;7,83;0;2;1;5;1;0;1;0
Mi;7,42;0;3;3;2;1;0;0;0
Do;7,33;0;4;3;2;0;0;0;0
Fr;8,08;0;5;1;3;1;0;0;0
Sa;4,33;0;2;2;2;0;1;0;0
So;9,17;20;5;2;4;0;0;0;0
